gen,id,x,y,word
0,16,0,11,ostrich
0,47,13,8,badger
0,13,9,11,salamander
0,7,3,6,gazelle
0,52,2,9,dolphin
0,64,14,3,dolphin
0,39,10,3,salamander
0,78,0,7,shoebill stork
0,65,3,15,steller sea lion
0,15,14,13,lemur
0,21,3,9,rhinoceros
0,74,11,5,walrus
0,38,12,6,dolphin
0,53,13,9,xerus squirrel
0,18,14,8,badger
0,2,6,0,cheetah
0,5,0,5,zebra
0,8,3,10,rhinoceros
0,26,13,7,armadillo
0,42,1,6,zebra
0,77,2,12,vulture
0,35,15,7,uakari
0,62,13,5,dolphin
0,37,14,9,vulture
0,29,10,4,mongoose
0,67,7,5,cheetah
0,11,14,10,cheetah
0,72,13,11,capuchin monkey
0,44,5,2,ibex
0,69,7,6,cheetah
0,34,14,2,dolphin
0,6,8,11,qatar oryx
0,70,11,1,mongoose
0,46,4,7,gazelle
0,54,8,0,walrus
0,73,2,8,shoebill stork
0,71,15,15,zebra
0,55,11,14,zebra
0,68,13,0,numbat
0,33,3,1,ibex
0,23,7,9,vulture
0,66,8,14,salamander
0,10,15,14,african darter
0,4,5,6,xerus squirrel
0,36,7,11,shoebill stork
0,1,6,1,cheetah
0,58,5,14,xerus squirrel
0,51,7,14,steller sea lion
0,40,4,13,aardvark
0,63,11,2,salamander
0,56,10,8,echidna
0,48,14,15,jaguar
0,12,7,8,kangaroo
0,50,6,14,echidna
0,22,2,4,numbat
0,3,1,12,vulture
0,41,10,7,oryx gazella
0,76,11,12,mpla frogmouth
0,57,9,9,vulture
0,32,8,12,ring tailed opossum
0,61,11,0,mpla frogmouth
0,24,2,15,mpla frogmouth
0,25,14,0,zebra
0,19,15,11,steller sea lion
0,31,1,9,salamander
0,45,5,9,uakari
0,43,0,6,zebra
0,59,6,8,kangaroo
0,27,14,6,anteater
0,17,11,11,fennec fox
0,60,10,5,walrus
0,28,5,4,echidna
0,30,7,2,walrus
0,9,0,14,uakari
0,20,2,10,rhinoceros
0,49,15,9,cheetah
0,14,9,7,hedgehog
0,0,1,14,aardvark
0,79,3,2,ibex
0,75,14,14,lemur
1,21,4,10,rhinoceros
1,78,15,7,shoebill stork
1,3,2,11,vulture
1,60,9,5,walrus
1,15,14,13,lemur
1,5,15,4,horse
1,20,2,10,vulture
1,47,12,7,badger
1,64,13,3,dolphin
1,56,10,8,dolphin
1,75,13,14,lemur
1,9,0,13,uakari
1,24,1,15,mpla frogmouth
1,53,13,9,xerus squirrel
1,51,6,15,serval
1,18,14,8,badger
1,12,7,8,kangaroo
1,46,4,6,gazelle
1,42,2,7,gazelle
1,22,3,4,numbat
1,77,1,11,vulture
1,68,13,1,dolphin
1,76,11,11,mpla frogmouth
1,72,14,12,capuchin monkey
1,14,8,7,kangaroo
1,44,5,2,ibex
1,7,3,6,gazelle
1,35,15,6,zebra
1,67,7,5,cheetah
1,11,15,10,cheetah
1,37,14,9,badger
1,70,10,2,mongoose
1,69,7,6,kangaroo
1,59,7,7,kangaroo
1,45,5,8,uakari
1,28,5,3,echidna
1,36,8,10,shoebill stork
1,33,2,2,ibex
1,48,14,15,zebra
1,74,11,4,walrus
1,31,1,9,dolphin
1,13,9,11,salamander
1,61,10,0,zebra
1,49,0,9,cheetah
1,52,2,9,dolphin
1,71,14,14,zebra
1,16,0,10,ostrich
1,39,10,3,salamander
1,19,15,11,steller sea lion
1,2,7,0,cheetah
1,32,8,12,northern quoll
1,34,14,2,dolphin
1,66,8,15,salamander
1,63,11,3,salamander
1,55,11,15,zebra
1,27,14,5,zebra
1,23,7,10,vulture
1,8,3,11,rhinoceros
1,65,2,0,steller sea lion
1,10,15,14,zebra
1,25,14,0,zebra
1,79,2,1,ibex
1,50,7,13,echidna
1,73,2,8,shoebill stork
1,4,5,5,xerus squirrel
1,62,13,5,dolphin
1,1,7,1,cheetah
1,6,8,11,qatar oryx
1,58,5,13,springhare
1,43,0,6,zebra
1,38,11,6,dolphin
1,54,7,15,walrus
1,17,10,11,fennec fox
1,0,0,14,aardvark
1,29,11,5,mongoose
1,40,3,14,aardvark
1,41,10,7,orcas
1,30,6,1,ibex
1,26,13,7,badger
1,57,8,8,vulture
2,7,3,5,gazelle
2,37,14,9,badger
2,67,6,6,kangaroo
2,27,14,5,zebra
2,26,12,7,dolphin
2,72,14,11,badger
2,38,10,6,dolphin
2,40,4,13,serval
2,66,9,0,zebra
2,71,15,15,zebra
2,59,7,7,kangaroo
2,47,13,6,zebra
2,5,14,3,dolphin
2,16,15,11,ostrich
2,23,6,11,vulture
2,60,9,6,dolphin
2,17,10,10,fennec fox
2,10,0,15,zebra
2,20,2,10,cheetah
2,0,0,14,aardvark
2,75,13,14,lemur
2,70,9,1,mongoose
2,3,2,11,vulture
2,46,4,5,gazelle
2,73,2,7,shoebill stork
2,13,9,11,salamander
2,41,10,7,walrus
2,63,12,2,salamander
2,8,4,10,vulture
2,69,7,6,kangaroo
2,12,6,7,kangaroo
2,45,5,8,uakari
2,32,8,12,northern quoll
2,28,5,4,gazelle
2,55,11,0,zebra
2,65,3,0,ibex
2,34,15,2,dolphin
2,77,1,11,cheetah
2,22,3,3,numbat
2,52,3,9,vulture
2,35,15,5,zebra
2,33,2,3,ibex
2,51,5,14,cheetah
2,30,7,2,ibex
2,18,14,8,zebra
2,31,1,9,cheetah
2,74,10,5,dolphin
2,62,12,4,dolphin
2,21,3,10,vulture
